Time(s),Cart Position(m),Cart Velocity(m/s),Hook Angle(deg),Hook Angle Rate(deg/s),Payload Angle(deg),Payload Angle Rate(deg/s),Force(N),Cart Acceleration(m/s^2),,
0.879,0,0,0.135348,0.780775,0.204582,1.30461,0,0,-1.13313,-16.997
0.889,0,0,0.133865,0.707126,0.204377,1.23778,0,0,-2.26627,-4.53254
0.901,0,0,0.132127,0.640609,0.204019,1.17553,0,0,-2.53551,3.38067
0.91,0,0,0.130235,0.570963,0.203406,1.11353,0,0,-0.463789,-3.24652
0.92,0,0,0.12819,0.502888,0.202076,1.05166,0,0,-1.6997,-13.031
0.929,0,0,0.12594,0.428791,0.200287,0.979899,0,0,-2.83284,-2.26627
0.939,0,0,0.123639,0.355232,0.19819,0.906609,0,0,1.13313,-1.6997
0.951,0,0,0.121184,0.291412,0.195634,0.839878,0,0,-2.11292,-5.07101
0.96,0,0,0.118577,0.225706,0.192463,0.76787,0,0,-1.39137,-6.95683
0.97,0,0,0.115816,0.160848,0.188731,0.691222,0,0,-1.6997,-5.66567
0.979,0,0,0.112901,0.0919537,0.184487,0.604028,0,0,-1.6997,-5.09911
0.989,0,0,0.109986,0.0242253,0.17968,0.509387,0,0,1.6997,-6.79881
1.001,0,0,0.106867,-0.0344961,0.174311,0.419732,0,0,-3.38067,-4.64843
1.01,0,0,0.103646,-0.0949179,0.168584,0.322454,0,0,1.26E-13,-1.39137
1.02,0,0,0.100271,-0.155085,0.162551,0.220466,0,0,-2.26627,-2.83284
1.029,0,0,0.0967431,-0.203199,0.156262,0.135657,0,0,-1.6997,-2.26627
1.039,0,0,0.0931638,-0.255078,0.149717,0.0406487,0,0,0.566567,-2.83284
1.051,0,0,0.0894311,-0.307295,0.142967,-0.0585177,0,0,-2.11292,-1.26775
1.06,0,0,0.0855961,-0.355389,0.136013,-0.152459,0,0,-0.463789,-1.85515
1.07,0,0,0.0816589,-0.415526,0.128854,-0.279983,0,0,-1.13313,-2.26627
1.079,0,0,0.0776706,-0.472214,0.121491,-0.411594,0,0,3.08E-13,-2.26627
1.089,0,0,0.0736822,-0.522529,0.114026,-0.534429,0,0,0.566567,3.08E-13
1.101,0,0,0.0696939,-0.563778,0.106305,-0.6385,0,0,-2.29E-13,-3.38067
1.11,0,0,0.0656032,-0.600855,0.0982259,-0.728395,0,0,-1.85515,-4.1741
1.12,0,0,0.0613592,-0.640707,0.0899424,-0.827508,0,0,-2.26627,-0.566567
1.129,0,0,0.0571152,-0.679994,0.0816078,-0.935824,0,0,1.6997,1.13313
1.139,0,0,0.0528712,-0.716492,0.073222,-1.03551,0,0,0,-0.566567
1.151,0,0,0.0485249,-0.746087,0.0644783,-1.11856,0,0,-1.69034,-5.4936
1.16,0,0,0.0440764,-0.77563,0.0554278,-1.20597,0,0,-0.927577,-2.31894
1.17,0,0,0.0394233,-0.807028,0.0462751,-1.30124,0,0,-3.3994,1.13313
1.179,0,0,0.034668,-0.837707,0.0372757,-1.38808,0,0,5.38E-13,4.53254
1.205,0,0,0.0299126,-0.8478,0.028123,-1.43015,0,0,0.333928,-1.50268
1.209,0,0,0.0247994,-0.862706,0.0183566,-1.47988,0,0,-3.18159,-4.77238
1.231,0,0,0.0195838,-0.881402,0.00848803,-1.53936,0,0,0.907681,2.42048
1.238,0,0,0.0141126,-0.894703,-0.00102265,-1.58536,0,0,-1.9456,3.89119
1.251,0,0,0.00853916,-0.921947,-0.0102265,-1.64715,0,0,0.511327,2.55663
1.259,0,0,0.00286343,-0.946467,-0.0191748,-1.70037,0,0,-0.927577,1.85515
1.271,0,0,-0.00291456,-0.97624,-0.0277651,-1.75429,0,0,-1.02265,4.60194
1.28,0,0,-0.00879482,-1.00229,-0.0358951,-1.79576,0,0,-0.927577,5.10167
1.289,0,0,-0.0146239,-1.03269,-0.0435651,-1.83578,0,0,2.52507,5.68141
1.301,0,0,-0.0206065,-1.05431,-0.0510816,-1.85877,0,0,-3.24652,-1.39137
1.309,0,0,-0.0267424,-1.07935,-0.0584447,-1.8793,0,0,-1.53398,1.53398
1.321,0,0,-0.0328783,-1.10773,-0.0656544,-1.89982,0,0,1.53398,1.53398
1.33,0,0,-0.0390142,-1.13086,-0.072813,-1.91134,0,0,-9.44E-14,-0.463789
1.339,0,0,-0.045099,-1.15815,-0.0799204,-1.92477,0,0,1.26254,0.631268
1.351,0,0,-0.0512861,-1.17616,-0.0870278,-1.92629,0,0,-2.31894,-0.463789
1.359,0,0,-0.0575754,-1.19692,-0.0940842,-1.9283,0,0,-1.02265,1.02265
1.371,0,0,-0.0637113,-1.22084,-0.10114,-1.93611,0,0,4.09062,-0.511327
1.38,0,0,-0.0697961,-1.2387,-0.108146,-1.93701,0,0,-0.463789,0.927577
1.389,0,0,-0.0756764,-1.25945,-0.114895,-1.93792,0,0,4.41887,5.68141
1.401,0,0,-0.0814544,-1.27032,-0.121542,-1.92636,0,0,1.26E-13,-0.463789
1.409,0,0,-0.0871812,-1.28297,-0.128139,-1.91584,0,0,-2.78E-13,1.39E-13
1.421,0,0,-0.0928058,-1.29988,-0.134479,-1.91158,0,0,1.53398,4.60194
1.43,0,0,-0.0982259,-1.31125,-0.140462,-1.8964,0,0,2.78273,4.1741
1.455,0,0,-0.103237,-1.29954,-0.146137,-1.8519,0,0,2.12316,0.884649
1.459,0,0,-0.108146,-1.29002,-0.15166,-1.81035,0,0,-0.972798,-2.64E-13
1.485,0,0,-0.112952,-1.27961,-0.156875,-1.76636,0,0,0.454513,2.04531
1.489,0,0,-0.117401,-1.27239,-0.161528,-1.72789,0,0,2.72708,3.6361
1.501,0,0,-0.121594,-1.28124,-0.165721,-1.70089,0,0,2.39684,5.59264
1.509,0,0,-0.125582,-1.27445,-0.169658,-1.65332,0,0,1.53398,0.511327
1.522,0,0,-0.129366,-1.26309,-0.173186,-1.60255,0,0,1.85515,5.10167
1.529,0,0,-0.132792,-1.26975,-0.176203,-1.58557,0,0,5.11327,6.13592
1.539,0,0,-0.135553,-1.27112,-0.178402,-1.55627,0,0,13.4467,15.5698
1.551,0,0,-0.137956,-1.25577,-0.180243,-1.50627,0,0,0.422584,-0.845168
1.56,0,0,-0.139899,-1.24111,-0.18193,-1.46398,0,0,5.10167,-0.463789
1.571,0,0,-0.141433,-1.20796,-0.183566,-1.40041,0,0,3.57929,-0.511327
1.579,0,0,-0.142609,-1.17393,-0.185203,-1.34333,0,0,3.3994,-0.566567
1.589,0,0,-0.143274,-1.13334,-0.186788,-1.28584,0,0,8.20648,1.26254
